[2017/03/11 00:12:12] ßf[ß6Ißf]ß7fybit11ßf[ß6VIPßb3ßf]ßr executed /hd setline pvp 4 &b&lSpam kill s? b? kick t·i ph?m band nick at Location{world=CraftWorld{name=pvp},x=1702.2420035790874,y=12.0,z=-1027.7164714673709,pitch=4.4999933,yaw=-86.54994}
[2017/03/11 00:12:18] ßf[ß6Ißf]ß7fybit11ßf[ß6VIPßb3ßf]ßr executed /hd setline pvp 4 &7&lSpam kill s? b? kick t·i ph?m band nick at Location{world=CraftWorld{name=pvp},x=1702.2420035790874,y=12.0,z=-1027.7164714673709,pitch=4.4999933,yaw=-86.54994}
[2017/03/11 00:12:24] ßf[ß6Ißf]ß7fybit11ßf[ß6VIPßb3ßf]ßr executed /hd setline pvp 4 &d&lSpam kill s? b? kick t·i ph?m band nick at Location{world=CraftWorld{name=pvp},x=1702.2420035790874,y=12.0,z=-1027.7164714673709,pitch=4.4999933,yaw=-86.54994}
[2017/03/11 00:12:32] ßf[ß6Ißf]ß7fybit11ßf[ß6VIPßb3ßf]ßr executed /hd setline pvp 4 &2&lSpam kill s? b? kick t·i ph?m band nick at Location{world=CraftWorld{name=pvp},x=1702.2420035790874,y=12.0,z=-1027.7164714673709,pitch=4.4999933,yaw=-86.54994}
[2017/03/11 00:12:42] ßf[ß6Ißf]ß7fybit11ßf[ß6VIPßb3ßf]ßr executed /hd setline pvp 4 &f&lSpam kill s? b? kick t·i ph?m band nick at Location{world=CraftWorld{name=pvp},x=1702.2420035790874,y=12.0,z=-1027.7164714673709,pitch=4.4999933,yaw=-86.54994}
[2017/03/11 00:13:43] ßf[ß6Ißf]ß7fybit11ßf[ß6VIPßb3ßf]ßr executed /deop fybit11 at Location{world=CraftWorld{name=pvp},x=1709.0837135635004,y=12.5,z=-1027.5986885717784,pitch=19.649961,yaw=188.39984}
[2017/03/11 00:13:52] ßf[ß6Ißf]ß7fybit11ßf[ß6VIPßb3ßf]ßr executed /pvptoggle at Location{world=CraftWorld{name=pvp},x=1713.106270736657,y=9.0,z=-1030.9261087912919,pitch=26.849949,yaw=227.99974}
[2017/03/11 00:13:57] ßf[ß6Ißf]ß7fybit11ßf[ß6VIPßb3ßf]ßr executed /pvptoggle at Location{world=CraftWorld{name=pvp},x=1716.8403955166427,y=9.0,z=-1033.704759421134,pitch=26.849949,yaw=227.99974}
[2017/03/11 00:14:03] ßf[ß6Ißf]ß7fybit11ßf[ß6VIPßb3ßf]ßr executed /pvptoggle at Location{world=CraftWorld{name=pvp},x=1716.8403955166427,y=9.0,z=-1033.704759421134,pitch=26.999949,yaw=228.14973}
[2017/03/11 00:19:09] ßf[ß6Ißf]ß7fybit11ßf[ß6VIPßb3ßf]ßr executed /gm 0 at Location{world=CraftWorld{name=pvp},x=1721.6763033890873,y=9.0,z=-1029.1813662497943,pitch=-0.3000515,yaw=301.04968}
