[2016/09/19 01:13:29] §6[§a§lMember§6]-§fDoThe§r executed /kill dothe at Location{world=CraftWorld{name=world},x=708.6604049903351,y=5.0,z=15.093897195547019,pitch=29.249937,yaw=232.50052}
[2016/09/19 01:13:55] §6[§a§lMember§6]-§fDoThe§r executed /kill dothe at Location{world=CraftWorld{name=world},x=708.6604049903351,y=5.0,z=15.093897195547019,pitch=29.399937,yaw=232.20052}
[2016/09/19 01:14:17] §6[§a§lMember§6]-§f§4DoThe§r executed /setspawn at Location{world=CraftWorld{name=world},x=701.5,y=7.0,z=-19.5,pitch=-9.600001,yaw=-179.99998}
[2016/09/19 01:16:18] §6[§a§lMember§6]-§fDoThe§r executed /kill dothe at Location{world=CraftWorld{name=world},x=701.664905172206,y=5.5,z=-27.57055801403844,pitch=18.299973,yaw=186.75}
[2016/09/19 01:16:26] §6[§a§lMember§6]-§f§4DoThe§r executed /kill dothe at Location{world=CraftWorld{name=world},x=701.5,y=7.0,z=-19.5,pitch=-6.150011,yaw=-182.84999}
[2016/09/19 01:17:13] §6[§a§lMember§6]-§f§4DoThe§r executed /kill dothe at Location{world=CraftWorld{name=world},x=701.5,y=7.0,z=-19.5,pitch=-9.000008,yaw=-179.9998}
[2016/09/19 01:19:19] §6[§a§lMember§6]-§fDoThe§r executed /kill dothe at Location{world=CraftWorld{name=world},x=701.0,y=7.0,z=-20.0,pitch=45.149998,yaw=183.15}
[2016/09/19 01:20:58] §6[§a§lMember§6]-§f§4DoThe§r executed /setspawn at Location{world=CraftWorld{name=world},x=701.5,y=7.0,z=-19.5,pitch=-9.599977,yaw=-179.99992}
[2016/09/19 01:21:55] §6[§a§lMember§6]-§fDoThe§r executed /kill dothe at Location{world=CraftWorld{name=world},x=701.0918608382617,y=7.0,z=-18.453256841832104,pitch=86.549965,yaw=-170.7}
[2016/09/19 01:22:50] §6[§a§lMember§6]-§f§4DoThe§r executed /help spawntp at Location{world=CraftWorld{name=world},x=701.5,y=7.0,z=-19.5,pitch=-10.199984,yaw=-179.99983}
[2016/09/19 01:23:30] §6[§a§lMember§6]-§f§4DoThe§r executed /setspawn at Location{world=CraftWorld{name=world},x=701.5,y=7.0,z=-19.5,pitch=-10.199984,yaw=-179.99983}
[2016/09/19 01:23:36] §6[§a§lMember§6]-§f§4DoThe§r executed /spawn at Location{world=CraftWorld{name=world},x=700.5361172708643,y=6.0,z=-14.242377148226117,pitch=25.050013,yaw=-201.74983}
[2016/09/19 01:23:55] §6[§a§lMember§6]-§f§4DoThe§r executed /setspawn at Location{world=CraftWorld{name=world},x=701.5,y=7.0,z=-19.5,pitch=-10.0,yaw=-180.19997}
[2016/09/19 01:23:58] §6[§a§lMember§6]-§f§4DoThe§r executed /spawn at Location{world=CraftWorld{name=world},x=701.5,y=7.0,z=-19.5,pitch=-10.0,yaw=-180.19997}
[2016/09/19 01:24:22] §6[§a§lMember§6]-§f§4DoThe§r executed /spawn at Location{world=CraftWorld{name=world},x=701.5,y=7.0,z=-19.5,pitch=-9.25,yaw=-196.2}
[2016/09/19 01:24:37] §6[§a§lMember§6]-§f§4DoThe§r executed /spawn at Location{world=CraftWorld{name=world},x=701.5,y=7.0,z=-19.5,pitch=-9.25,yaw=-196.2}
[2016/09/19 01:32:51] §6[§a§lMember§6]-§fDoThe§r executed /setspawn at Location{world=CraftWorld{name=world},x=712.6876737560027,y=4.0,z=-1.2288958098850982,pitch=-16.350016,yaw=-84.29998}
[2016/09/19 01:34:13] §6[§a§lMember§6]-§fDoThe§r executed / at Location{world=CraftWorld{name=world},x=701.560812347192,y=7.0,z=-19.751694899618037,pitch=-2.4000018,yaw=179.70007}
[2016/09/19 01:34:27] §6[§a§lMember§6]-§fDoThe§r executed /setworldspawn at Location{world=CraftWorld{name=world},x=701.560812347192,y=7.0,z=-19.751694899618037,pitch=-0.75001,yaw=179.84995}
[2016/09/19 01:34:38] §6[§a§lMember§6]-§fDoThe§r executed /setworldspawn at Location{world=CraftWorld{name=world},x=701.560812347192,y=7.0,z=-19.751694899618037,pitch=-0.75001,yaw=179.84995}
